21,21,13,6,7,21,21,21,21,13,21,6,7,13,13,21,21,21,21,21,21,21,13,13,6,7,13,13,13,13,13,21,13,21,13,21,21,6,7,21
13,18,9,9,9,8,9,9,9,9,8,8,9,8,8,9,9,9,9,8,9,8,9,9,8,8,9,8,8,9,8,9,8,9,8,9,9,9,9,21
13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21
21,47,18,16,16,17,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,18,21
21,21,13,13,21,21,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,51,52,18,18,18,18,18,18,31
13,18,18,18,18,18,18,18,18,18,62,18,18,17,18,18,62,18,18,16,18,18,18,18,18,45,18,16,16,18,18,18,18,18,18,18,18,18,18,39
31,18,18,18,18,18,18,18,18,18,13,18,18,13,18,18,13,18,18,13,18,18,18,21,6,7,21,21,21,18,18,18,18,18,10,18,18,18,18,13
39,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21
21,18,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13
13,18,18,18,18,18,18,51,52,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21
13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,45,18,18,13
31,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,13,21,13,21,31
39,18,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,18,18,18,18,18,18,18,18,39
21,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,45,45,45,18,18,18,18,18,18,18,18,18,18,21,18,18,18,18,18,18,18,19,13
21,18,18,18,18,18,18,18,18,18,18,18,11,18,21,21,6,7,21,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,13
21,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,13
21,18,18,18,18,18,18,18,17,19,19,18,18,18,18,18,18,18,10,18,18,18,18,18,15,18,18,18,18,18,18,18,18,18,18,18,18,14,15,13
13,18,18,18,18,18,18,18,6,7,13,18,18,18,18,18,18,18,18,18,18,18,18,18,23,18,45,45,18,18,18,18,18,18,18,18,17,22,23,21
21,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21,21,21,21,6,7,21,18,18,18,18,18,18,18,15,14,15,31
13,18,18,18,18,18,18,61,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,22,23,39
31,18,18,18,18,18,18,21,6,7,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,15,14,15,13
39,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,18,18,18,18,18,18,18,18,18,10,18,18,18,18,18,45,45,22,23,22,23,21
21,18,18,18,18,19,18,18,19,16,16,19,19,19,18,18,18,18,18,53,54,18,18,18,18,18,18,18,18,18,18,13,13,13,13,13,13,21,13,21
13,15,18,18,18,13,21,13,13,21,6,7,13,13,18,18,18,18,53,55,55,54,18,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21
21,23,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,53,55,55,55,55,54,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21
21,14,15,18,18,18,18,18,18,18,18,18,18,18,18,18,53,55,55,55,55,55,55,54,18,18,18,18,18,18,18,18,18,18,18,18,18,60,18,31
21,22,23,17,18,18,18,18,18,18,18,18,18,18,18,53,55,55,55,55,55,55,55,55,54,18,18,18,18,18,18,18,18,18,18,18,18,18,18,39
21,14,15,15,18,18,18,18,18,18,18,18,18,18,53,55,55,55,55,55,55,55,55,55,55,54,18,18,18,18,18,18,18,18,18,18,18,18,18,13
21,22,23,23,61,17,16,16,16,18,16,19,16,53,55,55,55,55,55,55,55,55,55,55,55,55,54,17,16,19,16,17,16,18,16,19,17,19,19,21
13,13,13,13,13,13,13,13,21,13,21,13,21,6,7,21,21,13,21,21,21,21,13,13,13,6,7,21,21,13,13,6,7,13,13,21,21,21,13,21
